2016-09-04 11:17:54 sys_log : [ERROR]   error wait for 允许：允许android.widget.Button
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:10
2016-09-04 11:19:26 sys_log : [INFO] 	11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_ask,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:10
2016-09-04 11:19:26 sys_log : [INFO] 	11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.LinearLayout,,,com.alibaba.aliyun:id/activityView,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:10
2016-09-04 11:19:26 sys_log : [INFO] 	11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.LinearLayout,,,com.alibaba.aliyun:id/monthlyConsumptionView,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:10
2016-09-04 11:19:26 sys_log : [INFO] 	11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.LinearLayout,,,com.alibaba.aliyun:id/userCountView,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:10
2016-09-04 11:19:26 sys_log : [INFO] 	11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.LinearLayout,,,com.alibaba.aliyun:id/userInviteCodeView,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:10
2016-09-04 11:19:26 sys_log : [INFO] 	11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.LinearLayout,,,com.alibaba.aliyun:id/userVoucherView,9
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:9
2016-09-04 11:19:26 sys_log : [INFO] 	10
2016-09-04 11:19:26 sys_log : [INFO] 		10
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:10
2016-09-04 11:19:26 sys_log : [INFO] 	11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		11
2016-09-04 11:19:26 sys_log : [INFO] 		6
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:6
2016-09-04 11:19:26 sys_log : [INFO] 	7
2016-09-04 11:19:26 sys_log : [INFO] 		7
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.RelativeLayout,,,,7
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:7
2016-09-04 11:19:26 sys_log : [INFO] 	8
2016-09-04 11:19:26 sys_log : [INFO] 		8
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:8
2016-09-04 11:19:26 sys_log : [INFO] 	9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		7
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.RelativeLayout,,,,7
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:7
2016-09-04 11:19:26 sys_log : [INFO] 	8
2016-09-04 11:19:26 sys_log : [INFO] 		8
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:8
2016-09-04 11:19:26 sys_log : [INFO] 	9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		7
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.RelativeLayout,,,,7
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:7
2016-09-04 11:19:26 sys_log : [INFO] 	8
2016-09-04 11:19:26 sys_log : [INFO] 		8
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:8
2016-09-04 11:19:26 sys_log : [INFO] 	9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		7
2016-09-04 11:19:26 sys_log : [INFO] 			push a element to stack--
2016-09-04 11:19:26 sys_log : [INFO] 			      info:android.widget.RelativeLayout,,,,7
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:7
2016-09-04 11:19:26 sys_log : [INFO] 	8
2016-09-04 11:19:26 sys_log : [INFO] 		8
2016-09-04 11:19:26 sys_log : [INFO] 				----go to the next depth:8
2016-09-04 11:19:26 sys_log : [INFO] 	9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		9
2016-09-04 11:19:26 sys_log : [INFO] 		3
2016-09-04 11:19:26 sys_log : [INFO] ########################### 开始执行探索性遍历测试 ###########################
2016-09-04 11:19:26 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有12个任务待运行, [android.widget.RelativeLayout,,,com.alibaba.aliyun:id/profile,9], 4002296d1b4876b4e756ddbcd64a285f-0,75-1080,655-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]
2016-09-04 11:19:27 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> true
2016-09-04 11:19:27 sys_log : [INFO] [android.widget.RelativeLayout,,,com.alibaba.aliyun:id/profile,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:19:27 sys_log : [INFO] click -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/profile,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,75-1080,655-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]
2016-09-04 11:19:41 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有11个任务待运行, [android.widget.ImageView,,,com.alibaba.aliyun:id/message_button,9], 4002296d1b4876b4e756ddbcd64a285f-966,114-1032,180-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.ImageView[1]
2016-09-04 11:19:42 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> true
2016-09-04 11:19:42 sys_log : [INFO] [android.widget.ImageView,,,com.alibaba.aliyun:id/message_button,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:19:42 sys_log : [INFO] click -> [info = android.widget.ImageView,,,com.alibaba.aliyun:id/message_button,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-966,114-1032,180-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.ImageView[1]
2016-09-04 11:19:52 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有10个任务待运行, [android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_live,9], 4002296d1b4876b4e756ddbcd64a285f-0,679-1080,831-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[1]
2016-09-04 11:19:53 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:19:53 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:19:53 sys_log : [INFO] 相同窗口执行次数 -> 0
2016-09-04 11:19:53 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_live,9], 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口虽然发生迁移,但已达到最大遍历深度 -> 9, 点击返回......
2016-09-04 11:20:05 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_live,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:20:05 sys_log : [INFO] click -> [info = android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_live,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,679-1080,831-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[1]
2016-09-04 11:20:16 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有9个任务待运行, [android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_ask,9], 4002296d1b4876b4e756ddbcd64a285f-0,831-1080,983-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[2]
2016-09-04 11:20:17 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:20:17 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:20:17 sys_log : [INFO] 相同窗口执行次数 -> 1
2016-09-04 11:20:17 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_ask,9], 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口虽然发生迁移,但已达到最大遍历深度 -> 9, 点击返回......
2016-09-04 11:20:28 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_ask,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:20:28 sys_log : [INFO] click -> [info = android.widget.LinearLayout,,,com.alibaba.aliyun:id/my_ask,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,831-1080,983-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[2]
2016-09-04 11:20:39 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有8个任务待运行, [android.widget.LinearLayout,,,com.alibaba.aliyun:id/activityView,9], 4002296d1b4876b4e756ddbcd64a285f-0,983-1080,1135-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[3]
2016-09-04 11:20:39 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:20:39 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:20:39 sys_log : [INFO] 相同窗口执行次数 -> 2
2016-09-04 11:20:39 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/activityView,9], 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口虽然发生迁移,但已达到最大遍历深度 -> 9, 点击返回......
2016-09-04 11:20:51 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/activityView,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:20:51 sys_log : [INFO] click -> [info = android.widget.LinearLayout,,,com.alibaba.aliyun:id/activityView,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,983-1080,1135-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[3]
2016-09-04 11:21:01 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有7个任务待运行, [android.widget.LinearLayout,,,com.alibaba.aliyun:id/monthlyConsumptionView,9], 4002296d1b4876b4e756ddbcd64a285f-0,1159-1080,1311-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[4]
2016-09-04 11:21:02 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:21:02 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:21:02 sys_log : [INFO] 相同窗口执行次数 -> 3
2016-09-04 11:21:02 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/monthlyConsumptionView,9], 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口虽然发生迁移,但已达到最大遍历深度 -> 9, 点击返回......
2016-09-04 11:21:14 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/monthlyConsumptionView,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:21:14 sys_log : [INFO] click -> [info = android.widget.LinearLayout,,,com.alibaba.aliyun:id/monthlyConsumptionView,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,1159-1080,1311-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[4]
2016-09-04 11:21:24 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有6个任务待运行, [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userCountView,9], 4002296d1b4876b4e756ddbcd64a285f-0,1311-1080,1462-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[5]
2016-09-04 11:21:25 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:21:25 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:21:25 sys_log : [INFO] 相同窗口执行次数 -> 4
2016-09-04 11:21:25 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userCountView,9], 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口虽然发生迁移,但已达到最大遍历深度 -> 9, 点击返回......
2016-09-04 11:21:36 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userCountView,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:21:37 sys_log : [INFO] click -> [info = android.widget.LinearLayout,,,com.alibaba.aliyun:id/userCountView,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,1311-1080,1462-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[5]
2016-09-04 11:21:47 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有5个任务待运行, [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userInviteCodeView,9], 4002296d1b4876b4e756ddbcd64a285f-0,1486-1080,1638-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[6]
2016-09-04 11:21:48 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:21:48 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:21:48 sys_log : [INFO] 相同窗口执行次数 -> 5
2016-09-04 11:21:48 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userInviteCodeView,9], 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口虽然发生迁移,但已达到最大遍历深度 -> 9, 点击返回......
2016-09-04 11:21:59 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userInviteCodeView,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:21:59 sys_log : [INFO] click -> [info = android.widget.LinearLayout,,,com.alibaba.aliyun:id/userInviteCodeView,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,1486-1080,1638-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[6]
2016-09-04 11:22:10 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有4个任务待运行, [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userVoucherView,9], 4002296d1b4876b4e756ddbcd64a285f-0,1638-1080,1770-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[7]
2016-09-04 11:22:11 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:22:11 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:22:11 sys_log : [INFO] 相同窗口执行次数 -> 6
2016-09-04 11:22:11 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userVoucherView,9], 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口虽然发生迁移,但已达到最大遍历深度 -> 9, 点击返回......
2016-09-04 11:22:22 sys_log : [INFO] [android.widget.LinearLayout,,,com.alibaba.aliyun:id/userVoucherView,9], 4002296d1b4876b4e756ddbcd64a285f >> 开始执行节点任务......
2016-09-04 11:22:22 sys_log : [INFO] click -> [info = android.widget.LinearLayout,,,com.alibaba.aliyun:id/userVoucherView,9], [depth = 9]4002296d1b4876b4e756ddbcd64a285f-0,1638-1080,1770-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[7]
2016-09-04 11:22:33 sys_log : [INFO] 报告主人,有1个节点任务出栈并加入黑名单 -> 现在还有3个任务待运行, [android.widget.RelativeLayout,,,,7], 4002296d1b4876b4e756ddbcd64a285f-0,1770-270,1920-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]
2016-09-04 11:22:34 sys_log : [INFO] 当前节点任务所属窗口是否就是当前窗口 -> false
2016-09-04 11:22:34 sys_log : [INFO] 4002296d1b4876b4e756ddbcd64a285f >> a3925efbff389f3b3b5c5b2b9eeebfdd, 窗口迁移至新窗口......
2016-09-04 11:22:34 sys_log : [INFO] 相同窗口执行次数 -> 7
2016-09-04 11:22:34 sys_log : [INFO] 	8
2016-09-04 11:22:34 sys_log : [INFO] 		8
2016-09-04 11:22:34 sys_log : [INFO] 				----go to the next depth:8
